Frequency;Mutation Type;Number of SNPs
1;NS;152.819
2;NS;70.7243
3;NS;38.6718
4;NS;19.372
5;NS;7.6045
6;NS;3.82608
7;NS;1.40464
1;S;212.371
2;S;100.439
3;S;53.0358
4;S;32.3103
5;S;11.0855
6;S;10.1115
7;S;1.70815
