Frequency;Mutation Type;Number of SNPs
1;NS;282.03107
2;NS;148.06913
3;NS;78.888644
4;NS;35.540195
5;NS;22.23099
6;NS;17.37623
7;NS;7.864402
1;S;395.082144
2;S;212.42034
3;S;103.996504
4;S;55.773992
5;S;32.029271
6;S;19.997291
7;S;10.215483
