Frequency;Mutation Type;Number of SNPs
1;NS;257.96082
2;NS;146.27679
3;NS;110.26173
4;NS;70.142759
5;NS;59.724674
6;NS;67.74076
7;NS;35.58164
1;S;300.49927
2;S;195.73056
3;S;129.64477
4;S;82.953184
5;S;64.254858
6;S;52.25317
7;S;26.78379
